Ename,Age,NumCompaniesWorked,Previous company experience,Job role in previous company,Number of years experience in prevoius company,Reason for leaving,Salary in previous company,Present expectation Y/N,Expectation of hike in %,Promotion Y/N,New designation after promotion,Attrition,BusinessTravel,Department,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager
Ann Taylor,30,1,Yes,Research Scientist,5,Lack of flexible work options,1328.5,Yes,0.15,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,3,297,4,Female,3,1,Research Scientist,1,Single,2657,Yes,3,0,8,5,4
Jodi Kirby,41,3,Yes,Manager,3,Lack of flexible work options,6795.5,Yes,0.35,Yes,Manager,No,Travel_Rarely,Sales,3,298,4,Female,3,3,Manager,4,Single,13591,Yes,3,0,16,1,0
Valerie Wright,30,2,Yes,Junior Sales Executive,5,Lack of flexible work options,3348,Yes,0.35,Yes,Sales Executive,Yes,Travel_Frequently,Sales,4,299,3,Female,2,2,Sales Executive,1,Single,6696,No,3,0,9,6,1
Christopher Gomez,29,1,Yes,Research Scientist,0,Lack of flexible work options,1029,Yes,0.35,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,3,300,3,Male,3,1,Research Scientist,3,Single,2058,No,3,0,7,6,5
Diane Melton,45,4,Yes,Junior Sales Executive,6,Lack of opportunities for carrier growth and development,4432.5,Yes,0.5,Yes,Sales Executive,No,Non-Travel,Sales,3,302,4,Female,2,3,Sales Executive,4,Single,8865,No,3,0,23,19,8
Samantha Johnson,54,4,Yes,Junior Sales Executive,2,Lack of flexible work options,2970,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,303,4,Female,3,2,Sales Executive,1,Married,5940,No,3,1,16,6,5
Eric Brown,36,3,Yes,Laboratory Technician,8,for a higher pay,2957,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,2,304,4,Male,3,2,Laboratory Technician,2,Single,5914,No,3,0,16,13,7
Tina Hansen,33,1,Yes,Research Scientist,6,Lack of flexible work options,1311,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,305,3,Female,2,1,Research Scientist,2,Married,2622,No,4,0,7,3,1
Justin Patel,37,3,Yes,Research Director,1,for a higher pay,6092.5,Yes,0.35,Yes,Research Director,No,Travel_Frequently,Research & Development,3,306,2,Male,3,3,Research Director,4,Divorced,12185,Yes,3,3,10,10,7
Christopher Clark,38,4,Yes,Junior Sales Executive,0,Lack of flexible work options,5304.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,307,1,Male,3,3,Sales Executive,3,Divorced,10609,No,3,2,17,16,13
Shannon Klein,31,1,Yes,Manufacturing Director,0,Lack of flexible work options,2172.5,Yes,0.15,Yes,Manufacturing Director,No,Non-Travel,Research & Development,4,308,3,Male,1,2,Manufacturing Director,3,Married,4345,No,3,1,6,5,4
Levi Dodson,59,1,Yes,Research Scientist,3,Lack of flexible work options,1088.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,309,3,Male,2,1,Research Scientist,4,Married,2177,No,3,1,7,1,0
Justin Sullivan,37,2,Yes,Sales Representative,4,Lack of flexible work options,1396.5,Yes,0.35,Yes,Sales Representative,No,Travel_Frequently,Sales,4,311,1,Male,3,1,Sales Representative,4,Divorced,2793,No,3,1,13,9,8
Jamie Robles,29,3,Yes,Junior Sales Executive,1,for a higher pay,3959,Yes,0.3,Yes,Sales Executive,No,Travel_Frequently,Sales,1,312,2,Female,3,3,Sales Executive,4,Married,7918,No,3,1,11,11,1
Tiffany Osborne,35,2,Yes,Junior Sales Executive,1,for a higher pay,4394.5,Yes,0.35,Yes,Sales Executive,No,Travel_Frequently,Sales,3,314,3,Female,3,3,Sales Executive,3,Single,8789,No,3,0,10,10,8
Seth Rodriguez,29,1,Yes,Research Scientist,1,Lack of flexible work options,1194.5,Yes,0.15,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,1,315,3,Male,2,1,Research Scientist,4,Single,2389,Yes,3,0,4,4,1
Sandra Weber,52,1,Yes,Laboratory Technician,7,Lack of flexible work options,1606,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,316,3,Female,2,1,Laboratory Technician,4,Single,3212,No,3,0,6,2,2
Kevin Turner,42,4,Yes,Manager,1,Lack of appreciation or recognition,9616,Yes,0.5,Yes,Manager,No,Travel_Rarely,Research & Development,2,319,3,Male,3,5,Manager,4,Married,19232,No,3,0,22,22,15
Tyler Norris,59,1,Yes,Human Resources,8,Lack of flexible work options,1133.5,Yes,0.15,Yes,Human Resources,No,Travel_Rarely,Human Resources,2,321,2,Male,3,1,Human Resources,3,Married,2267,No,3,0,7,2,2
Molly Russell,50,4,Yes,Manager,3,Lack of flexible work options,9758.5,Yes,0.35,Yes,Manager,No,Travel_Rarely,Sales,4,323,4,Female,3,5,Manager,4,Divorced,19517,No,3,1,32,7,6
Jordan Smith,33,1,Yes,Laboratory Technician,5,Lack of flexible work options,1218,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,325,3,Male,3,1,Laboratory Technician,4,Married,2436,Yes,3,1,8,5,4
Brittany Williams,43,4,Yes,Manager,5,Lack of flexible work options,8032,Yes,0.5,Yes,Manager,No,Travel_Rarely,Sales,3,327,4,Female,3,4,Manager,4,Married,16064,Yes,4,1,22,17,9
Nancy Ramirez,33,3,Yes,Laboratory Technician,7,Lack of flexible work options,1353.5,Yes,0.35,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,2,328,1,Female,3,1,Laboratory Technician,1,Married,2707,No,4,0,13,9,7
Edwin Moran,52,4,Yes,Manager,1,Lack of opportunities for carrier growth and development,9534,Yes,0.5,Yes,Manager,No,Non-Travel,Sales,4,329,1,Male,2,5,Manager,3,Single,19068,Yes,3,0,33,33,12
Erica Jones,32,1,Yes,Sales Representative,2,Lack of flexible work options,1965.5,Yes,0.15,Yes,Sales Representative,No,Travel_Rarely,Sales,2,330,3,Female,3,1,Sales Representative,2,Married,3931,No,3,1,6,4,2
Daniel West,32,1,Yes,Laboratory Technician,0,Lack of flexible work options,1865,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,331,4,Male,2,1,Laboratory Technician,3,Single,3730,Yes,3,0,4,3,2
Anne Farmer,39,1,Yes,Laboratory Technician,7,Lack of flexible work options,1116,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,4,332,3,Female,3,1,Laboratory Technician,3,Divorced,2232,No,3,3,7,3,2
Kenneth Hebert,32,1,Yes,Junior Sales Executive,0,Lack of flexible work options,2232.5,Yes,0.15,Yes,Sales Executive,No,Non-Travel,Sales,4,333,3,Male,3,2,Sales Executive,4,Married,4465,No,3,0,4,3,2
Robert Hoffman,41,4,Yes,Research Scientist,2,Lack of flexible work options,1536,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,334,3,Male,3,2,Research Scientist,1,Divorced,3072,No,3,2,17,1,0
Bryan Davis,40,2,Yes,Research Scientist,1,Lack of flexible work options,1659.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,335,1,Male,3,2,Research Scientist,4,Divorced,3319,No,3,2,9,9,7
Marvin Brown,45,4,Yes,Manager,0,Lack of opportunities for carrier growth and development,9601,Yes,0.5,Yes,Manager,No,Travel_Rarely,Research & Development,3,336,3,Male,4,5,Manager,4,Married,19202,No,3,1,25,24,7
Mark Baker,31,3,Yes,Research Director,9,Lack of flexible work options,6837.5,Yes,0.15,Yes,Research Director,No,Travel_Frequently,Research & Development,4,337,2,Male,3,3,Research Director,3,Divorced,13675,No,3,1,9,2,2
Adriana Smith,33,1,Yes,Research Scientist,1,Lack of flexible work options,1455.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,338,3,Female,2,1,Research Scientist,4,Married,2911,No,3,1,2,2,2
Kyle Garcia,34,2,Yes,Manufacturing Director,6,for a higher pay,2978.5,Yes,0.3,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,4,339,4,Male,2,2,Manufacturing Director,1,Married,5957,No,3,1,13,11,9
Stephanie Stevens,37,4,Yes,Research Scientist,2,Lack of flexible work options,1960,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,340,3,Female,2,1,Research Scientist,1,Married,3920,No,3,1,17,3,2
Donald Singh,45,3,Yes,Manufacturing Director,4,Lack of flexible work options,3217,Yes,0.15,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,4,341,1,Male,4,2,Manufacturing Director,3,Married,6434,No,3,1,9,3,2
Kyle Gordon,37,4,Yes,Manufacturing Director,6,Lack of flexible work options,5024,No,0,No,Manufacturing Director,Yes,Travel_Frequently,Research & Development,3,342,1,Male,3,3,Manufacturing Director,3,Divorced,10048,No,3,2,17,1,0
Krista Pacheco,39,4,Yes,Healthcare Representative,0,Lack of appreciation or recognition,5469,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,4,343,3,Female,3,3,Healthcare Representative,3,Single,10938,No,4,0,20,19,8
Christopher Orr,29,1,Yes,Research Scientist,1,Lack of flexible work options,1170,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,346,3,Male,3,1,Research Scientist,4,Single,2340,No,3,0,6,6,5
Rebecca Douglas,42,2,Yes,Research Scientist,3,Lack of flexible work options,3272.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,2,347,4,Female,4,2,Research Scientist,1,Single,6545,Yes,3,0,10,3,2
Scott Morris,29,3,Yes,Junior Sales Executive,2,Lack of flexible work options,3465.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,349,4,Male,3,2,Sales Executive,4,Divorced,6931,No,3,1,10,3,2
Kimberly Whitaker,25,1,No,Manufacturing Director,0,No previous experience,2449,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,350,1,Female,3,2,Manufacturing Director,3,Married,4898,No,3,2,5,4,2
Jennifer Bowers,42,2,Yes,Laboratory Technician,0,Lack of flexible work options,1296.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,3,351,4,Female,2,1,Laboratory Technician,1,Divorced,2593,Yes,3,1,10,9,8
Leonard Reilly,40,4,Yes,Research Director,0,Lack of appreciation or recognition,9718,No,0,No,Research Director,No,Travel_Rarely,Research & Development,2,352,1,Male,3,5,Research Director,3,Divorced,19436,No,3,1,22,21,9
Antonio Ibarra,51,1,Yes,Research Scientist,1,Lack of flexible work options,1361.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,353,3,Male,3,1,Research Scientist,4,Married,2723,No,3,0,1,1,0
John Cruz,31,1,Yes,Laboratory Technician,0,Lack of flexible work options,1739.5,No,0,No,Laboratory Technician,Yes,Travel_Frequently,Research & Development,2,355,3,Male,2,1,Laboratory Technician,2,Single,3479,No,3,0,6,5,4
Stephen Evans,32,1,Yes,Laboratory Technician,1,Lack of flexible work options,1397,No,0,No,Laboratory Technician,No,Travel_Frequently,Research & Development,3,359,2,Male,4,1,Laboratory Technician,2,Married,2794,No,4,0,5,5,3
Matthew Johnson,38,3,Yes,Junior Sales Executive,3,Lack of flexible work options,2624.5,No,0,No,Sales Executive,No,Non-Travel,Sales,2,361,4,Male,2,2,Sales Executive,4,Married,5249,No,3,1,13,8,5
Jeffrey Simpson,32,2,Yes,Laboratory Technician,4,Lack of flexible work options,1088,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,1,362,4,Male,2,2,Laboratory Technician,1,Single,2176,No,3,0,9,6,4
Tiffany Robles,46,4,Yes,Manager,3,Lack of flexible work options,8436,No,0,No,Manager,No,Travel_Rarely,Sales,3,363,3,Female,1,4,Manager,2,Married,16872,Yes,3,1,28,7,7
Scott Mcdonald,28,1,Yes,Laboratory Technician,2,Lack of flexible work options,1742.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,4,364,1,Male,3,1,Laboratory Technician,3,Single,3485,No,3,0,5,5,0
Brian Watts,29,3,Yes,Junior Sales Executive,2,Lack of flexible work options,3322,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,366,1,Male,2,2,Sales Executive,2,Married,6644,No,3,2,10,5,0
Troy Mccoy,31,2,Yes,Healthcare Representative,0,Lack of flexible work options,2791,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,367,2,Male,2,2,Healthcare Representative,4,Married,5582,No,4,1,10,9,8
Ryan Brown,25,1,No,Healthcare Representative,1,No previous experience,2000,No,0,No,Healthcare Representative,No,Non-Travel,Research & Development,2,369,2,Male,4,2,Healthcare Representative,1,Divorced,4000,No,3,2,6,6,5
Douglas Kelly,45,4,Yes,Healthcare Representative,0,Lack of opportunities for carrier growth and development,6748,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,2,372,3,Male,3,4,Healthcare Representative,4,Married,13496,Yes,3,0,21,20,10
Maxwell Reese,36,4,Yes,Laboratory Technician,0,for a higher pay,1605,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,3,373,4,Male,3,1,Laboratory Technician,4,Married,3210,No,3,1,16,15,11
Philip Fleming,55,4,Yes,Manager,0,Lack of opportunities for carrier growth and development,9522.5,No,0,No,Manager,No,Travel_Rarely,Research & Development,3,374,4,Male,3,5,Manager,1,Single,19045,Yes,3,0,37,36,13
Christopher Grant,47,3,Yes,Manager,1,for a higher pay,5924.5,No,0,No,Manager,Yes,Non-Travel,Research & Development,4,376,1,Male,3,3,Manager,2,Married,11849,Yes,3,1,10,10,9
Eric Richardson,28,1,Yes,Research Scientist,1,Lack of flexible work options,1035,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,377,4,Male,3,1,Research Scientist,4,Married,2070,No,4,1,5,5,4
Richard Robles,37,1,Yes,Junior Sales Executive,4,Lack of flexible work options,3251,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,378,3,Male,3,2,Sales Executive,4,Married,6502,No,3,1,7,5,1
Kent Salas,21,1,No,Research Scientist,1,No previous experience,1615,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,2,379,4,Male,2,1,Research Scientist,3,Single,3230,No,3,0,3,3,0
Jessica Russell,37,2,Yes,Research Director,2,Lack of flexible work options,6801.5,No,0,No,Research Director,No,Non-Travel,Research & Development,4,380,1,Female,3,3,Research Director,4,Divorced,13603,Yes,3,2,15,5,2
Christine Rose,35,3,Yes,Manager,7,Lack of flexible work options,5998,No,0,No,Manager,No,Travel_Rarely,Research & Development,3,381,2,Female,4,3,Manager,2,Divorced,11996,No,3,1,10,7,2
Mackenzie Livingston,38,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2802.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,382,1,Female,4,2,Sales Executive,1,Divorced,5605,Yes,4,1,8,8,7
Yvette Martin,26,1,Yes,Manufacturing Director,1,Lack of flexible work options,3198.5,No,0,No,Manufacturing Director,No,Travel_Frequently,Research & Development,3,384,3,Female,3,2,Manufacturing Director,2,Divorced,6397,No,4,1,6,6,4
Ian Wu,50,4,Yes,Research Director,3,for a higher pay,9572,No,0,No,Research Director,No,Travel_Rarely,Research & Development,1,385,1,Male,3,5,Research Director,2,Divorced,19144,No,3,2,28,10,6
Mark Landry,53,4,Yes,Research Director,3,Lack of flexible work options,8792,No,0,No,Research Director,No,Travel_Rarely,Research & Development,4,386,3,Male,3,4,Research Director,3,Married,17584,Yes,3,3,21,5,3
David Perry,42,4,Yes,Junior Sales Executive,1,Lack of appreciation or recognition,2453.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,1,387,2,Male,3,2,Sales Executive,3,Married,4907,No,4,0,20,20,6
Brian Davis,29,2,Yes,Junior Sales Executive,1,for a higher pay,2277,No,0,No,Sales Executive,No,Travel_Frequently,Sales,2,388,2,Male,3,2,Sales Executive,4,Single,4554,No,3,0,10,10,9
Timothy Roach,55,3,Yes,Laboratory Technician,3,for a higher pay,2707.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,2,389,2,Male,3,2,Laboratory Technician,4,Married,5415,Yes,3,1,12,10,8
Zachary Davis,26,1,Yes,Healthcare Representative,1,Lack of flexible work options,2370.5,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,2,390,1,Male,3,2,Healthcare Representative,1,Married,4741,Yes,3,1,5,5,3
Jennifer Smith,37,4,Yes,Research Scientist,1,Lack of flexible work options,1057.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,391,4,Female,3,1,Research Scientist,4,Single,2115,No,3,0,17,17,7
Tyler Williams,44,4,Yes,Laboratory Technician,3,Lack of flexible work options,1580.5,No,0,No,Laboratory Technician,Yes,Travel_Frequently,Research & Development,3,392,4,Male,3,1,Laboratory Technician,3,Divorced,3161,Yes,4,1,19,1,0
David Mathews,38,2,Yes,Healthcare Representative,9,Lack of flexible work options,2872.5,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,4,393,4,Male,3,2,Healthcare Representative,4,Divorced,5745,No,3,1,10,2,2
David Price,26,1,Yes,Laboratory Technician,2,Lack of flexible work options,1186.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,4,394,1,Male,3,1,Laboratory Technician,2,Divorced,2373,Yes,3,1,5,3,2
Karen Griffith,28,1,Yes,Research Scientist,1,Lack of flexible work options,1655,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,2,395,4,Female,3,1,Research Scientist,4,Single,3310,No,4,0,5,5,2
Alicia Leonard,49,4,Yes,Research Director,9,Lack of flexible work options,9332.5,No,0,No,Research Director,No,Travel_Frequently,Research & Development,4,396,3,Female,3,5,Research Director,1,Single,18665,Yes,3,0,22,3,2
Michael Dean,36,3,Yes,Research Scientist,4,Lack of flexible work options,2242.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,397,3,Male,3,2,Research Scientist,2,Single,4485,No,3,0,10,8,7
Rachel Sandoval,31,1,Yes,Sales Representative,1,Lack of flexible work options,1394.5,No,0,No,Sales Representative,No,Travel_Frequently,Sales,3,399,4,Female,3,1,Sales Representative,2,Divorced,2789,No,3,1,2,2,2
Colin Clark,26,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2914,No,0,No,Sales Executive,Yes,Travel_Rarely,Sales,4,401,4,Male,2,2,Sales Executive,4,Single,5828,Yes,3,0,8,8,4
Daniel Bell,37,1,Yes,Research Scientist,1,Lack of flexible work options,1163,No,0,No,Research Scientist,No,Travel_Frequently,Research & Development,3,403,2,Male,3,1,Research Scientist,4,Married,2326,Yes,3,3,4,4,2
Norma Brown,42,4,Yes,Junior Sales Executive,5,Lack of appreciation or recognition,6762.5,No,0,No,Sales Executive,No,Travel_Frequently,Sales,3,404,3,Female,3,4,Sales Executive,2,Married,13525,No,3,1,23,20,8
Ryan Blackburn,18,0,No,Laboratory Technician,1,No previous experience,710,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,405,3,Male,3,1,Laboratory Technician,3,Single,1420,No,3,0,0,5,0
Scott Harrell,35,2,Yes,Junior Sales Executive,0,for a higher pay,4010,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,406,3,Male,3,3,Sales Executive,2,Married,8020,No,3,2,12,11,9
David Lambert,36,1,Yes,Laboratory Technician,4,Lack of flexible work options,1844,No,0,No,Laboratory Technician,No,Travel_Frequently,Research & Development,4,407,3,Male,4,1,Laboratory Technician,4,Married,3688,No,3,2,4,1,0
Jerome May,51,3,Yes,Manufacturing Director,5,Lack of flexible work options,2741,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,408,4,Male,1,2,Manufacturing Director,2,Divorced,5482,No,3,1,13,4,2
Gary Martinez,41,4,Yes,Manager,1,Lack of appreciation or recognition,8007.5,Yes,0.5,Yes,Manager,No,Travel_Rarely,Sales,4,410,4,Male,3,4,Manager,2,Single,16015,No,3,0,22,22,4
Debbie Fischer,18,0,No,Sales Representative,1,No previous experience,600,Yes,0.35,Yes,Sales Representative,No,Travel_Rarely,Sales,3,411,4,Female,2,1,Sales Representative,3,Single,1200,No,3,0,0,5,0
Jason Mills,28,2,Yes,Healthcare Representative,0,Lack of flexible work options,2830.5,Yes,0.35,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,2,412,2,Male,4,2,Healthcare Representative,1,Single,5661,No,3,0,9,8,7
Joseph Ortiz,31,3,Yes,Junior Sales Executive,4,Lack of flexible work options,3464.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,416,2,Male,4,2,Sales Executive,4,Married,6929,No,3,1,10,8,7
Patrick Bridges,39,4,Yes,Healthcare Representative,0,Lack of appreciation or recognition,4806.5,Yes,0.5,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,3,417,3,Male,4,3,Healthcare Representative,4,Divorced,9613,No,3,3,19,18,7
Briana Pope,36,2,Yes,Laboratory Technician,7,Lack of flexible work options,2837,Yes,0.35,Yes,Laboratory Technician,No,Non-Travel,Research & Development,4,419,2,Female,3,2,Laboratory Technician,2,Married,5674,No,3,1,11,9,8
Justin Warren,32,3,Yes,Junior Sales Executive,1,for a higher pay,2742,Yes,0.3,Yes,Sales Executive,No,Travel_Rarely,Sales,3,420,4,Male,2,2,Sales Executive,3,Married,5484,No,3,1,13,13,8
Natasha Rogers,38,4,Yes,Research Director,3,for a higher pay,6030.5,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,2,421,1,Female,2,3,Research Director,2,Married,12061,No,3,1,19,10,1
Michael Parker,58,2,Yes,Healthcare Representative,2,Lack of flexible work options,2830,Yes,0.35,Yes,Healthcare Representative,No,Non-Travel,Research & Development,4,422,4,Male,1,2,Healthcare Representative,3,Divorced,5660,Yes,3,1,12,5,2
Dalton Ellis,31,1,Yes,Research Scientist,0,Lack of flexible work options,2410.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,423,3,Male,3,1,Research Scientist,4,Married,4821,Yes,3,1,6,5,3
Daniel Howe,31,3,Yes,Human Resources,3,Lack of flexible work options,3205,Yes,0.15,Yes,Human Resources,No,Travel_Rarely,Human Resources,3,424,1,Male,2,2,Human Resources,1,Married,6410,No,3,0,9,2,0
Bradley Hoffman,45,4,Yes,Laboratory Technician,1,Lack of opportunities for carrier growth and development,2605,Yes,0.5,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,3,425,1,Male,3,3,Laboratory Technician,1,Divorced,5210,No,3,1,24,24,11
Kristopher Gordon,31,1,Yes,Research Scientist,0,Lack of flexible work options,1347.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,426,3,Male,3,1,Research Scientist,4,Divorced,2695,Yes,3,1,3,2,2
Tracy Mcmillan,33,2,Yes,Manager,6,for a higher pay,5939,Yes,0.35,Yes,Manager,No,Travel_Frequently,Research & Development,4,428,4,Female,3,3,Manager,2,Married,11878,No,3,2,12,10,8
Steven Mckay,39,4,Yes,Manager,1,Lack of appreciation or recognition,8534,Yes,0.5,Yes,Manager,No,Travel_Rarely,Research & Development,1,429,3,Male,3,4,Manager,1,Married,17068,Yes,3,0,21,21,10
Heidi Hughes,43,3,Yes,Laboratory Technician,0,Lack of flexible work options,1227.5,Yes,0.35,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,4,430,3,Female,3,1,Laboratory Technician,4,Single,2455,No,3,0,9,8,7
Alicia Davis,49,4,Yes,Healthcare Representative,7,Lack of flexible work options,6982,Yes,0.35,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,2,431,3,Female,2,4,Healthcare Representative,3,Single,13964,Yes,3,0,25,7,7
Julian Mills,52,2,Yes,Research Scientist,2,Lack of flexible work options,2470.5,Yes,0.35,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,4,433,3,Male,2,2,Research Scientist,2,Married,4941,No,3,0,11,8,7
Brittany Browning,27,1,Yes,Research Scientist,1,Lack of flexible work options,1239,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,434,3,Female,3,1,Research Scientist,2,Single,2478,Yes,3,0,4,4,2
Jessica Hines,32,3,Yes,Junior Sales Executive,1,for a higher pay,2614,Yes,0.3,Yes,Sales Executive,No,Travel_Rarely,Sales,2,436,3,Female,2,2,Sales Executive,2,Married,5228,Yes,3,0,13,13,9
Anthony Franklin,27,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2239,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,3,437,4,Male,3,2,Sales Executive,3,Single,4478,Yes,3,0,5,5,4
Brian Cross,31,2,Yes,Junior Sales Executive,4,Lack of flexible work options,3773.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,438,4,Male,3,2,Sales Executive,4,Divorced,7547,No,3,3,13,7,7
Tasha Blackwell,32,3,Yes,Research Scientist,7,Lack of flexible work options,2527.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,439,1,Female,4,2,Research Scientist,4,Single,5055,No,3,0,10,7,7
James Adams,28,1,Yes,Research Scientist,5,Lack of flexible work options,1732,Yes,0.15,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,4,440,1,Male,1,1,Research Scientist,4,Married,3464,Yes,3,0,5,3,2
Veronica Snow,30,2,Yes,Research Scientist,1,for a higher pay,2887.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,441,4,Female,3,2,Research Scientist,4,Married,5775,No,3,2,11,10,9
Brittany Perez,31,3,Yes,Manufacturing Director,1,for a higher pay,4471.5,Yes,0.35,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,2,442,3,Female,2,3,Manufacturing Director,3,Married,8943,No,4,1,10,10,9
Michael Lane,39,4,Yes,Manager,1,Lack of appreciation or recognition,9636,Yes,0.5,Yes,Manager,No,Travel_Frequently,Research & Development,2,444,3,Male,2,5,Manager,4,Married,19272,No,3,1,21,21,3
Emily Bender,39,2,Yes,Junior Sales Executive,4,Lack of flexible work options,2619,Yes,0.35,Yes,Sales Executive,Yes,Travel_Rarely,Sales,2,445,4,Female,3,2,Sales Executive,3,Married,5238,Yes,3,0,12,1,0
Derrick Rose,33,3,Yes,Junior Sales Executive,3,Lack of flexible work options,2341,Yes,0.35,Yes,Sales Executive,No,Travel_Frequently,Sales,3,446,2,Male,2,2,Sales Executive,4,Single,4682,No,3,0,9,7,1
Randy Hernandez,47,4,Yes,Research Director,4,Lack of flexible work options,9150,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,5,447,4,Male,3,5,Research Director,3,Married,18300,No,3,1,21,3,1
Shelby Hernandez,43,2,Yes,Laboratory Technician,1,Lack of flexible work options,2628.5,Yes,0.35,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,4,448,3,Female,2,2,Laboratory Technician,3,Divorced,5257,No,3,1,9,9,0
Christopher Ellis,27,1,Yes,Junior Sales Executive,0,Lack of flexible work options,3174.5,Yes,0.15,Yes,Sales Executive,No,Non-Travel,Sales,1,449,3,Male,3,2,Sales Executive,2,Married,6349,Yes,3,1,6,5,4
Kathryn Nixon,54,4,Yes,Research Scientist,3,Lack of flexible work options,2434.5,Yes,0.35,Yes,Research Scientist,No,Travel_Frequently,Research & Development,4,450,4,Female,3,2,Research Scientist,3,Single,4869,No,3,0,20,4,3
Kelly Huang,43,3,Yes,Healthcare Representative,8,Lack of flexible work options,4992.5,Yes,0.15,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,3,451,3,Female,3,3,Healthcare Representative,1,Married,9985,No,3,1,10,1,0
